7,2024-02-29,心に響く茶の湯　日本文化とマインドフルネスの融合,1,,1,日本の伝統的な茶の湯の美学と、心の平穏を求めるマインドフルネスの実践がどのように相互に補完し合い、現代人の精神的な健康や内面的な豊かさに貢献するかを探求するトピックです。&nbsp;<div>このテーマでは、茶の湯が持つ静寂と集中を必要とする環境が、マインドフルネスの実践において重要な「今この瞬間に意識を向ける」こととどのように響き合うかを深掘りします。</div><div><br></div><div><br></div><b>2024/2/29 18:30 START</b><div><b>松葉屋茶寮</b></div><div><b>限定30名様参加費 無料</b></div><div><b>先着順&nbsp;</b></div><div><br></div><div>参加方法</div><div>DMにて参加希望人数と代表者のフルネームをお知らせください。</div><div>＊定員になり次第締め切りとさせていただきます。</div>,1,
6,2024-03-01,松葉屋茶寮・方舟GALLERYを『表参道＆原宿のローカルメディア OMOHARAREAL』で掲載いただきました,2,,1,『表参道＆原宿のローカルメディア OMOHARAREAL』にて「松葉屋茶寮・方舟GALLERY／南青山・温故知新のオアシス、文化の方舟」としてご紹介いただきました。<div><br></div><div><a href="https://omoharareal.com/navi/eat-drink/detail/4147">https://omoharareal.com/navi/eat-drink/detail/4147</a></div>,1,
5,2023-12-28,松葉屋茶寮を『ELLE』で掲載いただきました,2,,1,「ELLE」のGOURETレストラン・カフェにて「松葉屋茶寮」をご紹介いただきました。&nbsp;<div><br></div><div><a href="https://www.elle.com/jp/gourmet/gourmet-restaurants/g46214457/23-1226-matsubaya-saryo/">https://www.elle.com/jp/gourmet/gourmet-restaurants/g46214457/23-1226-matsubaya-saryo/</a></div>,1,
4,2024-01-14,松葉屋茶寮を『食べログMagazine』で掲載いただきました,2,,1,「食べログ」に新しく登録されたお店の中から『注目のお店』として松葉屋茶寮をご紹介いただきました。&nbsp;<div><br></div><div><a href="https://magazine.tabelog.com/articles/341145">https://magazine.tabelog.com/articles/341145 </a></div>,1,
3,2024-01-16,「〈松葉屋茶寮〉のPure rare、クッキー缶」を『Hanako.tokyo』で掲載いただきました,2,,1,『Hanako.tokyo』にて「行列店になる前に行きたい！ネクストブレイク必至店の絶品手みやげ6選」として「〈松葉屋茶寮〉のPure rare、クッキー缶」をご紹介いただきました。<div><br></div><div><span style="font-size: 10pt;"><a href="https://hanako.tokyo/food/412223/#heading-2">https://hanako.tokyo/food/412223/#heading-2&nbsp;</a></span></div>,1,
2,2024-02-15,松葉屋茶寮が医師の処方するサウンドトリートメントによるメディテーションルーム『緑閑庵』をOPEN,3,,1,<b>脳神経外科医師、道下将太郎氏による医学的な根拠に基づいて制作された音楽「YAKUZEN ONGAKU」を健康の向上やストレス軽減に活用する全く新たなアプローチによる新サービスです。</b><div><b><br></b></div><div><b>脳波状態を測定し、自律神経が最も整えられ脳が一番リラックスした周波数の楽曲を処方いたします。</b></div>	科学的研究に基づき、特定の周波数が心身のリラックスと健康に有益であることが示されています。<div><b>YAKUZEN ONGAKU</b>は、<b>医師の監修のもと制作された音楽を用いて脳の休息を促進</b>し、自律神経を調整します。</div><div><br></div><div>撮影 @ryokawanophoto</div><div><br></div><div><br></div><div><br></div>	<b>「心を落ち着かせる＝脳を休ませる」</b>という考えのもと、<u>脳神経外科医・宇宙航空環境医学認定医の監修・データ解析による環境を提供。</u>	脳波を測定し、導き出された<b>YAKUZEN ONGAKU</b>に耳と身体を預けることで、<b>脳のリラックスやストレス軽減</b>を最大限に促進します。	<b><u>サウンドトリートメント</u>によって深い内省状態に導かれ、心の平静と集中力が高まり、ストレス解消、睡眠の質改善、心身の健康促進などの効果が期待できます。</b><div><b><br></b></div><div><b><br></b></div><div><b><br></b></div>	<b>測定</b>した<b>YAKUZEN ONGAKU</b>を<b>専用のNFCタグにダウンロード</b>	<b>スマートフォンにかざすだけで楽曲の再生画面にアクセス</b>	※脳の状態は変化するため、最初の再生から2週間が経過すると楽曲は自動で削除されます。<div><br></div><div><br></div><div><br></div>	<b>脳神経外科医師の道下将太郎です。 </b><div><b><br></b></div><div><b>医療の現場で直面する課題を病院外で解決するためのプロジェクト、クリニックを複数展開。</b></div><div><span style="font-size: 10pt;"><b>薬の処方・手術をするだけではなく、様々な”選択肢”を提供する新たな形の医療を創造しております。</b></span></div><div><b>松葉屋茶寮の茶室では、脳波を測定し、その方々に1番フィットした音楽をお出しさせていただきます。</b></div><div><b><br></b></div><div><b>日本の伝統文化と最新技術を組み合わせることで、現代の最高の茶室空間を提供することが可能になりました。</b></div><div><b>本当の整う、をそれぞれの脳内に直接アプローチすることで実現させました。</b></div><div><b>選定した音楽はご自宅でもお聞きいただけますので、寝る前などリラックスしたいタイミングでもぜひ聞いてみてください。</b></div><div><br></div><div>2015年 東京慈恵会医科大学医学部医学科卒業。 </div><div>同大学脳神経外科入局。同年、環境宇宙航空医学認定医取得。 </div><div>2020年、死や障害に対して前向きに豊かな時間を作るサポートをする株式会社Re・habilitationを創業。 </div><div>同年、表参道、銀座、新橋などにトータルコーディネートのクリニックをAfrode clinic含め複数展開。</div><div>2022年MS法人Medical Wellness Partnersを創業、東京慈恵会医科大学脳神経外科を退局。</div><div>2022年、死装束などを手掛けるArt×Medicalをテーマとした31プロジェクト進行。</div><div>大学時代にはハーバード大学、台湾大学含め、留学歴多数。</div><div>医療の現場で直面する課題を、病院外で解決するためのプロジェクト、クリニックを複数展開。</div><div>薬の処方・手術をするだけではなく、様々な”選択肢”を提供する新たな形の医療を創造。 </div><div><br></div><div>●所属など一部</div><div>・株式会社 Medical Wellness Partners CEO/CMO</div><div>　Afrode clinic 表参道 コンセプトドクター</div><div>　URL：<a href="https://www.recovery-afrode-clinic.art">https://www.recovery-afrode-clinic.art</a></div><div>・株式会社 Re・habilitation</div><div>　URL： <a href="https://re-habilitation.jp">https://re-habilitation.jp</a></div><div>　MV：VOL.1 <a href="https://youtu.be/EyHOU7YyNDc">https://youtu.be/EyHOU7YyNDc</a></div><div>・FUN group 社外取締役</div><div>　URL：<a href="https://fungroup.com/ja">https://fungroup.com/ja</a></div><div>・株式会社 4S　取締役</div><div>　脳波研究プロジェクト</div><div><br></div><div>●取材実績：GQ、GOETHE、NHK、日テレTHE ART HOUSE　その他多数</div><div><br></div><div><br></div><div><br></div><div>緑閑庵PDF資料：<a href="https://rokkanan.mtbysr.jp/document/rokkanan20240215.pdf">https://rokkanan.mtbysr.jp/document/rokkanan20240215.pdf</a></div><div><br></div><div><br></div><div><br></div><div><br></div>,1,
1,2023-11-14,【盆栽・お菓子・お茶・骨董を楽しめる場所】”松葉屋茶寮”が南青山・骨董通りに開業,3,,1,株式会社グラッシーズ（代表取締役：芝 幸太郎）は、12月2日、南青山・骨董通りに日本文化の新しい拠点を目指す”松葉屋茶寮・方舟GALLERY”を開業いたします。	本新業態店舗は、日本の伝統と現代を融合した独自の空間で、<b>国内外のお客様に日本の文化、技術、伝統の美しさを体験</b>いただく場となります。<div><br></div><div><b>松葉屋茶寮 公式 Instagram : </b><a href="https://www.instagram.com/matsubayasaryo/">https://www.instagram.com/matsubayasaryo/</a> </div><div><br></div><div><b>SP movie</b></div><div><span style="font-size: 10pt;"><a href="https://youtube.com/shorts/Y_E5kzSYApI">https://youtube.com/shorts/Y_E5kzSYApI</a></span></div>	キービジュアルとなる盆栽は国内外に熱狂的なファンを持つ<b><u>盆栽アーティスト集団〝TRADMAN'S BONSAI〟の小島鉄平氏</u></b>(<a href="https://www.instagram.com/teppei_kojima501/">https://www.instagram.com/teppei_kojima501/</a>)が担当。	お菓子は和洋のジャンルにとらわれず、素材本来の味と食感を表現する<u><b>おかしやうっちー内山裕介氏・OKASHIYA </b></u>( <a href="https://www.instagram.com/okashiya.co.jp/">https://www.instagram.com/okashiya.co.jp/</a> )とのコラボレーションを提供。＊松葉屋茶寮だけでしか味わえない特別メニューもご用意。<div><br></div><div><b>SP movie with OKASHIYA</b></div><div><a href="https://youtube.com/shorts/Y_E5kzSYApI">https://youtube.com/shorts/Y_E5kzSYApI</a></div>	<b>日本の四季と食文化を通じて生産者や製造過程の透明化を推進</b>し、「食の安全性」「自給率」「気候変動」への意識向上を図り、世界共通の課題解決に向け持続可能な取り組みを以て社会に貢献することを目指しています。	有機栽培で育てた茶葉で点てたお茶とお菓子のペアリングコース	希少価値のある日本酒体験	<b>併設する方舟ギャラリーでは、盆栽・現代アート・器などの展示販売やワークショップなど、さまざまな文化体験を提供。</b> <div>＊多言語対応可能なスタッフが複数名在籍。文化体験を求めるインバウンドのお客様への対応も可能です。</div>	<b>SP movie with 縄屋忠右衛門</b><div><a href="https://youtube.com/shorts/GOGAugO4dic">https://youtube.com/shorts/GOGAugO4dic</a></div><div><br></div><div><b>現代では稀有な存在となった日本の伝統的な技術を持つ作家や職人との共創によって自然の素材を活かした古道具や骨董品を現代の生活様式にアップデート。日本独自のライフスタイルや文化、新たな価値の創造を提案します。</b></div>	<b>SP movie with 山中石材店</b><div><a href="https://youtube.com/shorts/mRuGILzpnE4">https://youtube.com/shorts/mRuGILzpnE4</a></div><div><br></div><div>環境負荷を減らし、よりサステナブルな生活の実現を目指します。</div><div><br></div><div>日本の美と感動を共に体験し、素敵な時間をお過ごしいただければ幸いです。</div>	<b>松葉屋茶寮</b><div><b>方舟GALLERY</b></div><div><b>開業日 2023年12月2日 土曜（大安） 開幕</b></div><div><b>営業時間：10:00〜</b></div><div><b>定休日：不定休</b></div><div><b>住所：東京都港区南青山5-4-27 Barbizon104 1F</b></div><div><b>Instagram :</b> <a href="https://www.instagram.com/matsubayasaryo/">https://www.instagram.com/matsubayasaryo/</a></div>,1,
